path,anim_name,start_time,type,delay_per_child,timeScale
ScrollViewMode/Viewport/Content/ButtonPractice,arena_flag_content_out,0,Single,0,1
ScrollViewMode/Viewport/Content/ButtonPractice/FlagTitle,arena_flag_title_out,0,Single,0,1
ScrollViewMode/Viewport/Content/ButtonRank,arena_flag_content_out,0,Single,0,1
ScrollViewMode/Viewport/Content/ButtonRank/FlagTitle,arena_flag_title_out,0,Single,0,1
ScrollViewMode/Viewport/Content/ButtonTournament,arena_flag_content_out,0,Single,0,1
ScrollViewMode/Viewport/Content/ButtonTournament/FlagTitle,arena_flag_title_out,0,Single,0,1
ScrollViewMode/Viewport/Content/ButtonMode1,arena_flag_content_out,0,Single,0,1
ScrollViewMode/Viewport/Content/ButtonMode1/FlagTitle,arena_flag_title_out,0,Single,0,1
ScrollViewMode/Viewport/Content/ButtonMode2,arena_flag_content_out,0,Single,0,1
ScrollViewMode/Viewport/Content/ButtonMode2/FlagTitle,arena_flag_title_out,0,Single,0,1
ScrollViewMode/Viewport/Content/ButtonMode3,arena_flag_content_out,0,Single,0,1
ScrollViewMode/Viewport/Content/ButtonMode3/FlagTitle,arena_flag_title_out,0,Single,0,1
TitleSign,arena_title_out,0,Single,0,1
TeamAvatarView,arena_team_out,0,Single,0,1
Stamina,arena_stamina_out,0,Single,0,1
CurentRoninLevel,arena_stamina_out,0,Single,0,1
TopLeftButtons/ButtonClose,arena_top_button_out,0,Single,0,1
TopLeftButtons/ButtonTutorial,arena_top_button_out,0,Single,0,1
TopRightButtons/ButtonSeasonReward,arena_top_button_out,0,Single,0,1
TopRightButtons/ButtonBattleLog,arena_top_button_out,0,Single,0,1
TopRightButtons/ButtonLeaderBoard,arena_top_button_out,0,Single,0,1
