path,anim_name,start_time,type,delay_per_child,timeScale,includeInactive
SafeArea/MainContentLayout/ScrollViewCharm/ScrollView/_Viewport/Content,charm_item_pre_in,0,DynamicScrollerAsc,0,1,true
SafeArea/MainContentLayout/ScrollViewCharm/ScrollView/_Viewport/Content,charm_item_in,0.015,DynamicScrollerAsc,0,1,true
SafeArea/ChangeCollectionTab,charm_collection_tab_pre_in,0,GroupDesc,0,1,false
SafeArea/ChangeCollectionTab,charm_collection_tab_in,0,GroupDesc,0,1,false
SafeArea/MainContentLayout/ScrollViewHolder/ScrollViewClasses,charm_class_toggle_pre_in,0,GroupAsc,0,1,false
SafeArea/MainContentLayout/ScrollViewHolder/ScrollViewClasses,charm_class_toggle_in,0.015,GroupAsc,0,1,false
Background/TitleSign,charm_top_title_in,0,Single,0,1,false
SafeArea/ButtonClose,charm_top_button_in,0,Single,0,1,false
SafeArea/MainContentLayout/ScrollViewCharm/ButtonFilter,charm_top_filter_button_in,0,Single,0,1,false
InputSearch,charm_top_button_in,0,Single,0,1,false
SafeArea/MainContentLayout/ScrollViewCharm/SeasonDropDown,charm_top_filter_button_in,0,Single,0,1,false
SafeArea/PanelUnequip,charm_equip_in,0,Single,0,1,false
SafeArea/MainContentLayout/ScrollViewCharm/WarningEndSeason,charm_top_warning_in,0,Single,0,1,false
SafeArea/MainContentLayout/ScrollViewCharm/ScrollView/NoCharmTxt,charm_no_charm_txt_in,0,Single,0,1,false
SafeArea/SelectTitleSign,charm_title_pick_for_axie_in,0,Single,0,1,false
SafeArea/MainContentLayout/ScrollViewCharm/ExpiredRuneCharm,charm_top_warning_in,0,Single,0,1,false
