path,anim_name,start_time,type,delay_per_child,timeScale,includeInactive
SafeArea/ButtonClose,craft_top_button_in,0,Single,0,1,false
ButtonTutorial,craft_top_button_in,0,Single,0,1,false
Moonshard,craft_top_button_in,0,Single,0,1,false
Slp,craft_top_button_in,0,Single,0,1,false
TitleSign,craft_top_title_in,0,Single,0,1,false
SafeArea/ButtonDisenchant,craft_bottom_button_in,0,Single,0,1,false
ButtonCraft,craft_bottom_button_in,0,Single,0,1,false
QuantitySelector,craft_bottom_quality_in,0,Single,0,1,false
LockCraftingPnl,craft_lock_pnl_in,0,Single,0,1,true
RuneCharmRecipeDetail,craft_detail_in,0,Single,0,1,false
ItemRecipeDetail,craft_detail_in,0,Single,0,1,false
ItemRecipeDetail/Materials/Viewport/Content,craft_recipe_item_pre_in,0,GroupAsc,0,1,false
ItemRecipeDetail/Materials/Viewport/Content,craft_recipe_item_in,0.015,GroupAsc,0,1,false
RuneCharmRecipeDetail/Materials/Viewport/Content,craft_recipe_item_pre_in,0,GroupAsc,0,1,false
RuneCharmRecipeDetail/Materials/Viewport/Content,craft_recipe_item_in,0.015,GroupAsc,0,1,false
SafeArea/Recipes/Viewport/Content/RuneCharmRecipes,craft_recipe_title_in,0,Single,0,1,false
SafeArea/Recipes/Viewport/Content/RuneCharmRecipes,craft_rune_pre_in,0,GroupAsc,0,1,false
SafeArea/Recipes/Viewport/Content/RuneCharmRecipes,craft_rune_in,0,GroupAsc,0,1,false
SafeArea/Recipes/Viewport/Content/SpecialUtilityRecipes,craft_detail_in,0,Single,0,1,false
