path,anim_name,start_time,type,delay_per_child,timeScale,includeInactive
SafeArea/ButtonClose,craft_top_button_out,0,Single,0,1,false
ButtonTutorial,craft_top_button_out,0,Single,0,1,false
Moonshard,craft_top_button_out,0,Single,0,1,false
Slp,craft_top_button_out,0,Single,0,1,false
TitleSign,craft_top_title_out,0,Single,0,1,false
SafeArea/ButtonDisenchant,craft_bottom_button_out,0,Single,0,1,false
ButtonCraft,craft_bottom_button_out,0,Single,0,1,false
QuantitySelector,craft_bottom_quality_out,0,Single,0,1,false
LockCraftingPnl,craft_lock_pnl_out,0,Single,0,1,true
SafeArea/Recipes,craft_recipies_out,0,Single,0,1,false
RuneCharmRecipeDetail,craft_detail_out,0,Single,0,1,false
ItemRecipeDetail,craft_detail_out,0,Single,0,1,false
SafeArea/Recipes/Viewport/Content/RuneCharmRecipes,craft_rune_out,0,GroupAsc,0,1,false
SafeArea/Recipes/Viewport/Content/RuneCharmRecipes,craft_recipe_title_out,0,Single,0,1,false
RuneCharmRecipeDetail/Materials/Viewport/Content,craft_recipe_item_out,0,GroupAsc,0,1,false
