path,anim_name,start_time,type,delay_per_child,timeScale
Background/TitleSign,inventory_hide_element_pre_in,0,Single,0,1
Background/TitleSign,inventory_title_in,0,Single,0,1
InputSearch,inventory_hide_element_pre_in,0,Single,0,1
InputSearch,inventory_top_search_in,0,Single,0,1
SafeArea/ButtonClose,inventory_hide_element_pre_in,0,Single,0,1
SafeArea/ButtonClose,inventory_top_button_in,0,Single,0,1
SafeArea/ListCategory,inventory_hide_element_pre_in,0,GroupAsc,0,1
SafeArea/ListCategory,inventory_top_tab_in,0,GroupAsc,0,1
SafeArea/MainContentLayout/ListUserItems/Viewport/Content,inventory_item_pre_in,0,GroupAsc,0,1
SafeArea/MainContentLayout/ListUserItems/Viewport/Content,inventory_item_in,0,GroupAsc,0,1
SafeArea/MainContentLayout/DetailPnl/FlagBg,inventory_hide_element_pre_in,0,Single,0,1
SafeArea/MainContentLayout/DetailPnl/FlagBg,inventory_flag_in,0,Single,0,1
SafeArea/MainContentLayout/DetailPnl/DetailContent,inventory_hide_element_pre_in,0,GroupAsc,0,1
SafeArea/MainContentLayout/DetailPnl/DetailContent,inventory_bottom_detail_in,0,Single,0,1
SafeArea/MainContentLayout/DetailPnl/DetailContent/ItemDetailView,inventory_hide_element_pre_in,0,Single,0,1
SafeArea/MainContentLayout/DetailPnl/DetailContent/ItemDetailView,inventory_top_detail_icon_in,0,Single,0,1
SafeArea/MainContentLayout/DetailPnl/LocationBtn,inventory_hide_element_pre_in,0,Single,0,1
SafeArea/MainContentLayout/DetailPnl/LocationBtn,inventory_top_location_in,0,Single,0,1
SafeArea/MainContentLayout/DetailPnl/DetailContent/FlagSpine,in,0,SingleSpine,0,1.5
SafeArea/MainContentLayout/DetailPnl/DetailContent/FlagSpine,inventory_flag_pre_in,0,Single,0,1
SafeArea/MainContentLayout/DetailPnl/DetailContent/FlagSpine,inventory_flag_in,0.015,Single,0,1
