path,anim_name,start_time,type,delay_per_child,timeScale
SafeArea/MainContentLayout/ScrollViewRunes/ScrollView/_Viewport/Content,rune_item_pre_in,0,DynamicScrollerAsc,0,1
SafeArea/MainContentLayout/ScrollViewRunes/ScrollView/_Viewport/Content,rune_item_in,0.015,DynamicScrollerAsc,0,1
SafeArea/ChangeCollectionTab,rune_collection_tab_pre_in,0,GroupDesc,0,1
SafeArea/ChangeCollectionTab,rune_collection_tab_in,0,GroupDesc,0,1
SafeArea/MainContentLayout/ScrollViewHolder/ScrollViewClasses,rune_class_toggle_pre_in,0,GroupAsc,0,1
SafeArea/MainContentLayout/ScrollViewHolder/ScrollViewClasses,rune_class_toggle_in,0.015,GroupAsc,0,1
Background/TitleSign,rune_top_title_in,0,Single,0,1
SafeArea/ButtonClose,rune_top_button_in,0,Single,0,1
SafeArea/MainContentLayout/ScrollViewRunes/ButtonFilter,rune_top_filter_button_in,0,Single,0,1
InputSearch,rune_top_button_in,0,Single,0,1
SafeArea/MainContentLayout/ScrollViewRunes/SeasonDropDown,rune_top_filter_button_in,0,Single,0,1
SafeArea/PanelUnequip,rune_equip_in,0,Single,0,1
SafeArea/MainContentLayout/ScrollViewRunes/WarningEndSeason,rune_top_warning_in,0,Single,0,1
SafeArea/MainContentLayout/ScrollViewRunes/ScrollView/NoRuneTxt,rune_no_rune_txt_in,0,Single,0,1
SafeArea/SelectTitleSign,rune_title_pick_for_axie_in,0,Single,0,1
SafeArea/MainContentLayout/ScrollViewRunes/ExpiredRuneCharm,rune_top_warning_in,0,Single,0,1
