path,anim_name,start_time,type,delay_per_child,timeScale
BG/SafeArea/ButtonClose,setting_top_button_pre_in,0,Single,0,1
BG/SafeArea/ButtonClose,setting_top_button_in,0,Single,0,1
BG/TitleSign,setting_title_pre_in,0,Single,0,1
BG/TitleSign,setting_title_in,0,Single,0,1
BG/ZendeskHelpCenter,setting_top_button_pre_in,0,Single,0,1
BG/ZendeskHelpCenter,setting_top_button_in,0,Single,0,1
Content/GridA,setting_left_section_pre_in,0,GroupAsc,0,1
Content/GridA,setting_left_section_in,0,GroupAsc,0,1
Content/GridB,setting_right_section_pre_in,0,GroupAsc,0,1
Content/GridB,setting_right_section_in,0,GroupAsc,0,1
Content/Bottom,setting_bottom_button_pre_in,0,GroupDesc,0,1
Content/Bottom,setting_bottom_button_in,0,GroupDesc,0,1
